MR;Type;STC;FUTCs;LocalDistance
MR21;DISJOINT_EXTEND;Test-23;1;1
MR11;DISJOINT_EXTEND;Test-13;2;2
MR4;DISJOINT_EXTEND;Test-05;2;2
MR16;DISJOINT_EXTEND;Test-18;2;2
MR5;EQUIVALENCE_EXTEND;Test-06;1;1
MR15;DISJOINT_EXTEND;Test-17;1;1
MR8;DISJOINT_EXTEND;Test-09;2;2
MR20;DISJOINT_EXTEND;Test-19;1;1
MR13;DISJOINT_EXTEND;Test-15;2;2
MR18;SHUFFLING_CONTRACT;Test-19;1;1
MR12;DISJOINT_EXTEND;Test-14;2;2
MR0;EQUIVALENCE_EXTEND;Test-01;1;1
MR6;EQUIVALENCE_EXTEND;Test-07;1;1
MR19;SHUFFLING_EXTEND;Test-19;2;2
MR3;EQUIVALENCE_EXTEND;Test-04;1;1
MR1;DISJOINT_EXTEND;Test-02;1;1
MR2;DISJOINT_EXTEND;Test-03;1;1
MR7;DISJOINT_EXTEND;Test-08;1;1
MR10;DISJOINT_EXTEND;Test-12;2;2
MR17;CONJUNCTIVE_CONTRACT;Test-19;1;2
MR9;EQUIVALENCE_EXTEND;Test-11;1;1
MR14;DISJOINT_EXTEND;Test-16;1;1
