MR;Type;STC;FUTCs;LocalDistance
MR9;DISJOINT_EXTEND;Test-02;1;1
MR43;SHUFFLING_CONTRACT;Test-10;1;1
MR22;COMPLETE_EXTEND;Test-04;3;3
MR34;SHUFFLING_EXTEND;Test-07;3;3
MR38;SHUFFLING_EXTEND;Test-08;3;3
MR25;CONJUNCTIVE_EXTEND;Test-05;1;2
MR6;CONJUNCTIVE_EXTEND;Test-02;1;2
MR0;CONJUNCTIVE_CONTRACT;Test-01;1;2
MR7;SHUFFLING_CONTRACT;Test-02;1;1
MR10;COMPLETE_EXTEND;Test-02;2;2
MR37;CONJUNCTIVE_EXTEND;Test-08;1;5
MR11;EQUIVALENCE_EXTEND;Test-02;1;2
MR13;CONJUNCTIVE_EXTEND;Test-03;1;1
MR31;COMPLETE_EXTEND;Test-06;3;3
MR5;CONJUNCTIVE_CONTRACT;Test-02;1;1
MR45;DISJOINT_EXTEND;Test-10;1;1
MR41;CONJUNCTIVE_CONTRACT;Test-10;1;5
MR12;CONJUNCTIVE_CONTRACT;Test-03;2;11
MR18;CONJUNCTIVE_CONTRACT;Test-04;1;5
MR47;EQUIVALENCE_EXTEND;Test-10;1;1
MR16;DISJOINT_EXTEND;Test-03;1;1
MR40;CONJUNCTIVE_CONTRACT;Test-09;1;3
MR29;SHUFFLING_CONTRACT;Test-06;1;1
MR20;SHUFFLING_EXTEND;Test-04;3;3
MR8;SHUFFLING_EXTEND;Test-02;1;1
MR3;DISJOINT_EXTEND;Test-01;1;1
MR28;EQUIVALENCE_EXTEND;Test-05;2;4
MR46;COMPLETE_EXTEND;Test-10;2;2
MR15;SHUFFLING_EXTEND;Test-03;2;2
MR39;DISJOINT_EXTEND;Test-08;1;1
MR30;SHUFFLING_EXTEND;Test-06;5;5
MR14;SHUFFLING_CONTRACT;Test-03;1;1
MR36;CONJUNCTIVE_CONTRACT;Test-08;1;3
MR19;CONJUNCTIVE_EXTEND;Test-04;1;1
MR44;SHUFFLING_EXTEND;Test-10;1;1
MR32;CONJUNCTIVE_CONTRACT;Test-07;2;4
MR27;DISJOINT_EXTEND;Test-05;1;1
MR2;SHUFFLING_EXTEND;Test-01;1;1
MR42;CONJUNCTIVE_EXTEND;Test-10;1;5
MR21;DISJOINT_EXTEND;Test-04;1;1
MR33;SHUFFLING_CONTRACT;Test-07;1;1
MR1;CONJUNCTIVE_EXTEND;Test-01;1;2
MR4;EQUIVALENCE_EXTEND;Test-01;1;4
MR35;COMPLETE_EXTEND;Test-07;3;3
MR26;SHUFFLING_EXTEND;Test-05;3;3
MR17;EQUIVALENCE_EXTEND;Test-03;1;2
MR24;CONJUNCTIVE_CONTRACT;Test-05;1;3
MR23;EQUIVALENCE_EXTEND;Test-04;1;2
