MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR13;CONJUNCTIVE_CONTRACT;Test-11;8;1;1;[trip_type, from, to, depart, cabin_class, adults, children, non_stop_flights_only];[];[non_stop_flights_only];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR0;CONJUNCTIVE_CONTRACT;Test-02;11;1;1;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[];[non_stop_flights_only];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR15;DISJUNCTIVE_CONTRACT;Test-12;9;2;2;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, cabin_class, adults, children];[];[from_nearby_airports];[];[];[to_nearby_airports];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR3;CONJUNCTIVE_EXTEND;Test-03;8;1;1;[trip_type, from, to, from_nearby_airports, depart, cabin_class, adults, children];[non_stop_flights_only];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR12;DISJUNCTIVE_CONTRACT;Test-09;9;1;2;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, cabin_class, adults, children];[];[from_nearby_airports, to_nearby_airports];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR11;CONJUNCTIVE_EXTEND;Test-09;9;1;1;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, cabin_class, adults, children];[non_stop_flights_only];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR7;DISJUNCTIVE_CONTRACT;Test-05;10;1;1;[trip_type, from, to, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[];[to_nearby_airports];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR4;DISJUNCTIVE_CONTRACT;Test-03;8;1;1;[trip_type, from, to, from_nearby_airports, depart, cabin_class, adults, children];[];[from_nearby_airports];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR9;CONJUNCTIVE_EXTEND;Test-07;8;1;1;[trip_type, from, to, depart, return, cabin_class, adults, children];[non_stop_flights_only];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR10;DISJUNCTIVE_EXTEND;Test-07;8;1;2;[trip_type, from, to, depart, return, cabin_class, adults, children];[from_nearby_airports, to_nearby_airports];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR8;DISJUNCTIVE_EXTEND;Test-05;10;1;1;[trip_type, from, to, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[from_nearby_airports];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR1;DISJUNCTIVE_CONTRACT;Test-02;11;2;2;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[];[to_nearby_airports];[];[];[from_nearby_airports];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR5;DISJUNCTIVE_EXTEND;Test-03;8;1;1;[trip_type, from, to, from_nearby_airports, depart, cabin_class, adults, children];[to_nearby_airports];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR2;DISJUNCTIVE_CONTRACT;Test-02;11;1;2;[trip_type, from, to, from_nearby_airports, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[];[from_nearby_airports, to_nearby_airports];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR14;DISJUNCTIVE_EXTEND;Test-11;8;1;2;[trip_type, from, to, depart, cabin_class, adults, children, non_stop_flights_only];[from_nearby_airports, to_nearby_airports];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR6;CONJUNCTIVE_CONTRACT;Test-05;10;1;1;[trip_type, from, to, to_nearby_airports, depart, return, cabin_class, adults, children, non_stop_flights_only];[];[non_stop_flights_only];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
